pct,Celia Israel,Kirk Watson,Total
100,339,190,529
101,345,156,501
102,523,158,681
103,377,106,483
104,802,268,1070
105,461,171,632
106,769,422,1191
107,536,291,827
110,374,186,560
111,265,203,468
112,267,180,447
113,461,223,684
114,474,161,635
115,25,2,27
116,417,162,579
117,437,232,669
120,130,70,200
121,142,91,233
122,132,56,188
123,105,34,139
124,112,69,181
125,0,0,0
126,94,49,143
130,325,135,460
131,194,137,331
132,213,95,308
133,201,132,333
134,171,107,278
135,150,149,299
136,176,121,297
137,257,151,408
138,323,164,487
140,10,7,17
141,303,187,490
142,0,0,0
164,0,0,0
170,0,0,0
180,26,14,40
181,21,11,32
182,9,2,11
183,37,22,59
184,22,12,34
185,0,0,0
186,130,85,215
190,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
200,439,590,1029
201,219,1210,1429
202,306,160,466
203,437,185,622
204,395,237,632
205,446,751,1197
206,453,327,780
207,592,293,885
210,229,475,704
211,378,414,792
212,629,230,859
213,707,211,918
214,376,124,500
215,191,19,210
216,501,186,687
220,410,539,949
221,759,457,1216
223,288,340,628
224,430,256,686
225,495,204,699
226,436,338,774
227,441,247,688
230,302,903,1205
231,211,1426,1637
232,235,1137,1372
233,308,1018,1326
234,339,534,873
235,255,1006,1261
236,278,809,1087
237,285,520,805
238,404,667,1071
240,388,195,583
241,209,127,336
242,291,241,532
243,343,340,683
244,114,42,156
245,130,121,251
246,371,230,601
247,158,63,221
250,218,128,346
251,152,85,237
252,7,11,18
253,46,21,67
254,337,261,598
255,239,210,449
256,237,279,516
260,170,309,479
261,181,274,455
262,305,367,672
263,169,103,272
264,415,473,888
265,180,129,309
266,278,345,623
267,260,775,1035
268,181,411,592
270,180,584,764
271,76,442,518
272,7,40,47
273,2,16,18
274,10,33,43
275,72,206,278
290,69,587,656
291,32,193,225
292,0,0,0
294,0,0,0
300,184,323,507
301,126,267,393
302,278,441,719
303,7,24,31
304,327,293,620
305,125,97,222
306,573,554,1127
307,544,624,1168
310,212,41,253
311,223,31,254
312,263,23,286
313,199,37,236
314,180,37,217
315,188,20,208
320,182,726,908
321,26,120,146
322,0,0,0
323,7,67,74
324,18,47,65
325,0,4,4
326,32,165,197
327,148,740,888
330,307,228,535
331,306,224,530
332,332,244,576
333,210,190,400
334,287,275,562
335,166,311,477
336,50,70,120
337,247,256,503
340,307,638,945
341,284,353,637
342,332,272,604
343,200,382,582
344,234,353,587
345,201,358,559
346,252,678,930
347,224,503,727
348,174,291,465
349,59,115,174
350,392,413,805
351,160,352,512
352,77,101,178
353,12,74,86
354,297,828,1125
355,50,64,114
356,209,304,513
357,258,336,594
358,339,522,861
360,3,9,12
370,7,12,19
371,0,0,0
380,296,821,1117
381,73,86,159
382,302,376,678
383,423,725,1148
384,318,567,885
385,213,601,814
386,201,348,549
387,99,139,238
390,17,61,78
392,0,5,5
400,118,254,372
401,355,175,530
402,495,236,731
403,449,145,594
404,21,16,37
405,640,180,820
410,385,302,687
411,302,361,663
412,292,211,503
413,332,265,597
414,381,211,592
415,361,165,526
416,397,267,664
417,206,128,334
418,220,96,316
420,371,130,501
421,189,83,272
422,67,16,83
423,307,133,440
424,344,143,487
425,330,152,482
426,203,85,288
427,204,67,271
430,285,309,594
431,448,279,727
432,129,122,251
433,75,69,144
434,201,109,310
435,274,156,430
436,275,184,459
437,456,248,704
438,236,139,375
439,154,49,203
445,317,232,549
446,473,378,851
447,146,110,256
448,277,151,428
449,387,345,732
450,528,329,857
451,213,131,344
452,237,210,447
453,197,93,290
454,171,70,241
455,214,213,427
456,184,143,327
460,98,45,143
461,158,87,245
462,193,111,304
463,96,47,143
464,296,93,389
465,71,27,98
466,215,128,343
467,199,169,368
470,200,136,336
471,300,133,433
472,216,472,688
473,188,124,312
474,84,50,134
480,42,34,76
481,67,48,115
482,0,2,2
483,77,65,142
490,0,0,0
