pct,A-Against,A-For,A-Total,B-Against,B-For,B-Total
100,35,306,341,302,33,335
101,17,306,323,302,21,323
102,33,487,520,486,30,516
103,9,332,341,321,14,335
104,34,710,744,703,34,737
105,15,443,458,431,17,448
106,70,710,780,696,66,762
107,49,520,569,509,48,557
110,19,356,375,342,25,367
111,16,288,304,270,24,294
112,19,252,271,237,25,262
113,43,433,476,418,42,460
114,27,456,483,449,25,474
115,0,12,12,11,1,12
116,16,379,395,372,19,391
117,40,410,450,407,34,441
120,8,112,120,103,16,119
121,9,126,135,112,15,127
122,7,91,98,87,11,98
123,5,90,95,85,8,93
124,5,69,74,64,6,70
125,0,0,0,0,0,0
126,1,13,14,11,3,14
130,23,304,327,298,27,325
131,28,188,216,181,27,208
132,25,196,221,186,30,216
133,29,154,183,147,30,177
134,28,164,192,161,33,194
135,22,120,142,118,24,142
136,27,119,146,120,25,145
137,17,134,151,129,21,150
138,39,307,346,307,36,343
140,0,12,12,10,1,11
141,61,250,311,236,59,295
142,0,0,0,0,0,0
180,6,27,33,25,8,33
181,2,15,17,14,3,17
182,0,6,6,5,1,6
183,4,40,44,33,9,42
184,3,27,30,27,3,30
185,0,0,0,0,0,0
186,20,89,109,87,22,109
190,0,0,0,0,0,0
192,0,0,0,0,0,0
200,90,461,551,480,64,544
201,270,325,595,348,242,590
202,30,207,237,209,25,234
203,21,311,332,308,22,330
204,35,327,362,323,35,358
205,106,656,762,649,95,744
206,21,362,383,364,11,375
207,36,470,506,466,33,499
210,71,307,378,313,56,369
211,69,415,484,414,58,472
212,52,540,592,545,43,588
213,33,497,530,491,34,525
214,16,356,372,352,17,369
215,5,139,144,139,3,142
216,42,455,497,452,46,498
220,115,558,673,567,98,665
221,93,747,840,746,79,825
223,73,344,417,352,57,409
224,42,433,475,428,40,468
225,44,431,475,432,40,472
226,89,522,611,502,95,597
227,58,438,496,445,44,489
230,156,418,574,433,136,569
231,309,357,666,374,284,658
232,243,412,655,434,213,647
233,170,356,526,362,156,518
234,93,295,388,300,85,385
235,189,293,482,298,181,479
236,182,303,485,323,166,489
237,119,316,435,331,98,429
238,145,461,606,460,151,611
240,36,271,307,266,39,305
241,28,180,208,181,29,210
242,46,261,307,256,41,297
243,76,264,340,256,80,336
244,10,77,87,73,13,86
245,25,88,113,83,28,111
246,46,205,251,208,42,250
247,8,128,136,126,8,134
250,28,163,191,160,29,189
251,14,123,137,116,18,134
252,1,7,8,8,0,8
253,5,55,60,56,4,60
254,66,286,352,280,68,348
255,47,201,248,192,56,248
256,81,221,302,223,74,297
260,98,159,257,175,80,255
261,79,190,269,194,72,266
262,118,290,408,296,110,406
263,27,165,192,163,24,187
264,120,370,490,383,100,483
265,36,186,222,186,32,218
266,83,255,338,250,82,332
267,240,339,579,372,209,581
268,81,154,235,161,74,235
270,42,73,115,77,35,112
271,178,162,340,200,136,336
272,0,0,0,0,0,0
273,0,0,0,0,0,0
274,3,5,8,6,2,8
275,54,63,117,88,30,118
290,234,113,347,149,197,346
291,70,44,114,63,50,113
292,0,0,0,0,0,0
300,68,196,264,204,53,257
301,74,125,199,124,72,196
302,105,231,336,235,97,332
303,6,10,16,11,5,16
304,50,282,332,285,44,329
305,26,103,129,107,22,129
306,66,565,631,549,72,621
307,95,493,588,501,81,582
310,10,128,138,126,11,137
311,4,95,99,93,6,99
312,3,92,95,88,6,94
313,11,115,126,111,14,125
314,10,121,131,118,12,130
315,4,107,111,101,10,111
320,353,411,764,468,286,754
321,43,28,71,41,30,71
322,0,0,0,0,0,0
323,11,2,13,5,8,13
324,2,1,3,0,3,3
325,0,0,0,0,0,0
326,96,85,181,112,67,179
327,378,397,775,487,293,780
330,56,233,289,228,58,286
331,50,213,263,217,45,262
332,49,230,279,230,50,280
333,43,161,204,157,43,200
334,52,175,227,181,46,227
335,61,79,140,87,50,137
336,3,30,33,26,6,32
337,49,88,137,92,43,135
340,143,306,449,322,122,444
341,90,225,315,230,80,310
342,55,237,292,229,60,289
343,102,185,287,186,95,281
344,65,200,265,195,65,260
345,85,153,238,170,64,234
346,155,264,419,289,126,415
347,116,244,360,253,108,361
348,86,127,213,134,81,215
349,25,27,52,25,26,51
350,87,347,434,342,80,422
351,104,135,239,145,97,242
352,17,55,72,55,15,70
353,21,14,35,16,19,35
354,200,326,526,345,179,524
355,15,33,48,36,11,47
356,78,189,267,206,54,260
357,70,198,268,195,68,263
358,122,252,374,264,107,371
360,0,0,0,0,0,0
370,0,0,0,0,0,0
371,0,0,0,0,0,0
380,214,332,546,341,200,541
381,43,62,105,64,41,105
382,92,275,367,281,84,365
383,195,346,541,364,182,546
384,173,312,485,316,165,481
385,181,224,405,250,157,407
386,111,223,334,224,101,325
387,52,92,144,105,38,143
390,15,19,34,24,9,33
392,0,0,0,0,0,0
400,60,126,186,126,63,189
401,23,251,274,246,24,270
402,44,371,415,361,41,402
403,22,338,360,333,25,358
404,0,22,22,18,3,21
405,32,433,465,415,45,460
410,40,309,349,310,38,348
411,50,307,357,304,46,350
