,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record,Cast Vote Record
United States Senator,"DEM Mary ""MJ"" Hegar",GRN David B. Collins,LIB Kerry Douglas McKennon,REP John Cornyn,Write-in,overvote,undervote,All
President/Vice President,,,,,,,,
DEM Joseph R. Biden,300659.0,1933.0,4214.0,13450.0,1.0,25.0,5318.0,325600
GRE Howie Hawkins,674.0,562.0,67.0,206.0,,,41.0,1550
LIB Jo Jorgensen,1211.0,91.0,2249.0,2462.0,,1.0,145.0,6159
REP Donald J. Trump,3045.0,365.0,1649.0,78143.0,,2.0,2011.0,85215
Write-in,,,1.0,2.0,,,,3
overvote,88.0,1.0,1.0,14.0,,25.0,1.0,130
undervote,301.0,14.0,30.0,870.0,,1.0,260.0,1476
All,305978.0,2966.0,8211.0,95147.0,1.0,54.0,7776.0,420133
